"","id","first","last","hand","DOB","country","year","month","day"
"4485","204484","Marta","Cano","U",NA,"ESP",1975,9,27
"4486","204485","Esther","Ruiz De Ona Plaza","U",NA,"ESP",1974,5,8
"4487","204486","Cristina","Lopez De Subijana","U",NA,"ESP",1973,4,19
"4488","204487","Monika","Mastalirova","U",NA,"CZE",1977,1,22
"4489","204488","Elena","Juricich","U",NA,"URU",1979,9,6
"4490","204489","Berangere","Quillot","U",NA,"FRA",1979,6,15
"4491","204490","Darija","Deskovic","U",NA,"CRO",1972,2,13
"4492","204491","Rebecca","Pike","U",NA,"AUS",1983,3,14
"4493","204492","Debby","Haak","U",NA,"NED",1977,2,25
"4494","204493","Marylene","Losey","U",NA,"SUI",1980,2,25
"4495","204494","Jody","Anglin","U",NA,"USA",1978,9,30
"4496","204495","Elena","Tudor","U",NA,"ROU",1983,5,21
"4497","204496","Mihaela","Moldovan","U",NA,"ROU",1981,3,23
